City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Punta Arenas,US,2022-11-16 20:39:44,33.0334,-115.4175,294.58,9,0,9.76
Avarua,US,2022-11-16 20:39:44,33.0334,-115.4175,294.58,9,0,9.76
Port Alfred,US,2022-11-16 20:37:14,33.0334,-115.4175,294.58,9,0,9.76
Hobart,US,2022-11-16 20:37:14,33.0334,-115.4175,294.58,9,0,9.76
Rikitea,US,2022-11-16 20:39:44,33.0334,-115.4175,294.58,9,0,9.76
Puerto Ayora,US,2022-11-16 20:39:45,33.0334,-115.4175,294.58,9,0,9.76
Malpe,US,2022-11-16 20:38:59,33.0334,-115.4175,294.58,9,0,9.76
Taolanaro,US,2022-11-16 20:39:44,33.0334,-115.4175,294.58,9,0,9.76
Chiredzi,US,2022-11-16 20:37:14,33.0334,-115.4175,294.58,9,0,9.76
Tuktoyaktuk,US,2022-11-16 20:39:45,33.0334,-115.4175,294.58,9,0,9.76
Blonduos,US,2022-11-16 20:38:59,33.0334,-115.4175,294.58,9,0,9.76
Albany,US,2022-11-16 20:39:44,33.0334,-115.4175,294.58,9,0,9.76
Kapaa,US,2022-11-16 20:39:44,33.0334,-115.4175,294.58,9,0,9.76
Hithadhoo,US,2022-11-16 20:37:14,33.0334,-115.4175,294.58,9,0,9.76
Upernavik,US,2022-11-16 20:39:44,33.0334,-115.4175,294.58,9,0,9.76
Bethel,US,2022-11-16 20:39:44,33.0334,-115.4175,294.58,9,0,9.76
Saint-Philippe,US,2022-11-16 20:37:14,33.0334,-115.4175,294.58,9,0,9.76
Airai,US,2022-11-16 20:39:45,33.0334,-115.4175,294.58,9,0,9.76
Barrow,US,2022-11-16 20:39:45,33.0334,-115.4175,294.58,9,0,9.76
Kutum,US,2022-11-16 20:30:24,33.0334,-115.4175,294.58,9,0,9.76
Mar Del Plata,US,2022-11-16 20:39:45,33.0334,-115.4175,294.58,9,0,9.76
Chuy,US,2022-11-16 20:28:09,33.0334,-115.4175,294.58,10,0,9.6
Ust-Omchug,US,2022-11-16 20:38:59,33.0334,-115.4175,294.58,9,0,9.76
Sao Filipe,US,2022-11-16 20:37:14,33.0334,-115.4175,294.58,9,0,9.76
Kalemie,US,2022-11-16 20:37:14,33.0334,-115.4175,294.58,9,0,9.76
Carnarvon,US,2022-11-16 20:33:37,33.0334,-115.4175,294.58,9,0,9.76
Harper,US,2022-11-16 20:37:14,33.0334,-115.4175,294.58,9,0,9.76
Ushuaia,US,2022-11-16 20:37:14,33.0334,-115.4175,294.58,9,0,9.76
Cajamarca,US,2022-11-16 20:39:44,33.0334,-115.4175,294.58,9,0,9.76
East London,US,2022-11-16 20:39:44,33.0334,-115.4175,294.58,9,0,9.76
